Day,Time,Title,Speaker,URL,Room,Topic
Sunday,11:45,Kanister.io: Application Consistent Backups on Kubernetes,Daniil Fedotov,https://www.socallinuxexpo.org/scale/22x/presentations/kanisterio-application-consistent-backups-kubernetes,Ballroom A,Intermediate
Sunday,11:45,Reimagined Engineering Docs with Runme.dev,Adam Christian,https://www.socallinuxexpo.org/scale/22x/presentations/reimagined-engineering-docs-runmedev,Room 211,Everyone
Sunday,11:45,Scaling Observability with Loki at Dropbox,"Alok Ranjan, Paul Shen",https://www.socallinuxexpo.org/scale/22x/presentations/scaling-observability-loki-dropbox,Room 107,Everyone
Sunday,11:45,Deploying AI/ML Pipelines at Crexi,"Xpaul Vigil, Isaac Smothers",https://www.socallinuxexpo.org/scale/22x/presentations/deploying-aiml-pipelines-crexi,Room 106,Advanced
Sunday,11:45,Controlling Robots like NASA,"Adrian Todorov, Kerim Satirli",https://www.socallinuxexpo.org/scale/22x/presentations/controlling-robots-nasa,Room 105,Developer
Sunday,11:45,Online Payments: Attack and Defense,Vincent Sloan,https://www.socallinuxexpo.org/scale/22x/presentations/online-payments-attack-and-defense,Room 101,Everyone
Sunday,11:45,An Introduction to Post-Quantum Cryptography for Linux System Administrators,"Atom Ramirez, Marie Ramirez",https://www.socallinuxexpo.org/scale/22x/presentations/introduction-post-quantum-cryptography-linux-system-administrators,Ballroom H,Everyone
Sunday,11:45,Copyleft and the GPL: Finding the Path Forward to Defend our Software Right to Repair,Bradley Kuhn,https://www.socallinuxexpo.org/scale/22x/presentations/copyleft-and-gpl-finding-path-forward-defend-our-software-right-repair,Ballroom G,Everyone
Sunday,11:45,Open Source for Real-Time Voice Understanding: An Edge AI Solution,Zubair Talib,https://www.socallinuxexpo.org/scale/22x/presentations/open-source-real-time-voice-understanding-edge-ai-solution,Ballroom F,Developer
Sunday,11:45,Towards improving code integrity on Linux,Sriram Nambakam,https://www.socallinuxexpo.org/scale/22x/presentations/towards-improving-code-integrity-linux,Ballroom C,Advanced
Sunday,11:45,Prepare to Perform with Backstage Software Templates,Ryan Jarvinen,https://www.socallinuxexpo.org/scale/22x/presentations/prepare-perform-backstage-software-templates,Ballroom B,Advanced
Sunday,12:00,Make Your Open Source Story Work for You,Krista Burdine,https://www.socallinuxexpo.org/scale/22x/presentations/make-your-open-source-story-work-you,Room 103,Everyone
Sunday,13:00,Career Workshop: Interviews and Negotiations in Open Source,Jenson Crawford,https://www.socallinuxexpo.org/scale/22x/presentations/career-workshop-interviews-and-negotiations-open-source,Room 104,Everyone
Sunday,13:00,Using Certification to Prove Home Lab Skills,Adrianna Frick,https://www.socallinuxexpo.org/scale/22x/presentations/using-certification-prove-home-lab-skills,Room 103,Everyone
Sunday,13:30,"darktable: the fundamentals, advanced techniques, and discussion",Mica Semrick,https://www.socallinuxexpo.org/scale/22x/presentations/darktable-fundamentals-advanced-techniques-and-discussion,Room 209,Everyone
Sunday,13:45,Cloud Development Environments Are Strategic Assets,Tim Quinlan,https://www.socallinuxexpo.org/scale/22x/presentations/cloud-development-environments-are-strategic-assets,Room 211,Developer
Sunday,13:45,Beyond Sequential: A Recipe for Async Pipeline Observability and Alerting,"Jash Mistry, Gabriela Medvetska",https://www.socallinuxexpo.org/scale/22x/presentations/beyond-sequential-recipe-async-pipeline-observability-and-alerting,Room 107,Developer
Sunday,13:45,Beyond Replication: A Holistic Approach to Application Scaling,Josh Thornton,https://www.socallinuxexpo.org/scale/22x/presentations/beyond-replication-holistic-approach-application-scaling,Room 106,Everyone
Sunday,13:45,Nextcloud as A Self-Hosted Cross-Platform Cloud,Kyle Rankin,https://www.socallinuxexpo.org/scale/22x/presentations/nextcloud-self-hosted-cross-platform-cloud,Room 105,Everyone
Sunday,13:45,"Defense in Depth, as learned from watching football",Kennedy Toomey,https://www.socallinuxexpo.org/scale/22x/presentations/defense-depth-learned-watching-football,Room 101,Everyone
Sunday,13:45,Meet COSMIC DE,Carl Richell,https://www.socallinuxexpo.org/scale/22x/presentations/meet-cosmic-de,Ballroom H,Everyone
Sunday,13:45,RamaLama making AI Boring,James Huang,https://www.socallinuxexpo.org/scale/22x/presentations/ramalama-making-ai-boring,Ballroom G,Beginner
Sunday,13:45,"Everything I Need to Know About LLM, I Learned From A Pasadena Search Company 24 Years Ago",Gene Chuang,https://www.socallinuxexpo.org/scale/22x/presentations/everything-i-need-know-about-llm-i-learned-pasadena-search-company-24-years,Ballroom F,Everyone
Sunday,13:45,Bringing Per-CPU Variables to Rust-for-Linux,Mitchell Levy,https://www.socallinuxexpo.org/scale/22x/presentations/bringing-cpu-variables-rust-linux,Ballroom C,Intermediate
Sunday,13:45,From Pull Request to Live Environment: Automating Ephemeral Environments,Vahan Melikyan,https://www.socallinuxexpo.org/scale/22x/presentations/pull-request-live-environment-automating-ephemeral-environments,Ballroom B,Everyone
Sunday,13:45,CloudOps for your databases: a new paradigm for managing your data stores,Colin Charles,https://www.socallinuxexpo.org/scale/22x/presentations/cloudops-your-databases-new-paradigm-managing-your-data-stores,Ballroom A,Everyone
Sunday,14:00,How to crack software engineering interviews at FAANG and beyond,Vinit Dhatrak,https://www.socallinuxexpo.org/scale/22x/presentations/how-crack-software-engineering-interviews-faang-and-beyond,Room 103,Everyone
Sunday,15:00,Closing Keynote with Leslie Lamport,Leslie Lamport,https://www.socallinuxexpo.org/scale/22x/presentations/closing-keynote-leslie-lamport,Ballroom DE,Everyone
